,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Bandersnatch
Bestiary #19",Type,Level,HP,MP,Gil,EXP,Speed,,,,,,,,,
Magic Beast,9,120,0,100,60,15,,,,,,,,,,
Strength,Attack Mult.,Magic Atk.,Evasion,Defense,Mag. Def.,Mag. Evade,,,,,,,,,,
14,5,0,10,0,5,0,,,,,,,,,,
Stolen Items,Dropped Items,,,,,,,,,,,,,,,
Common: Potion,Common: Potion,,,,,,,,,,,,,,,
Command Immunities,Elemental Immunities,,,,,,,,,,,,,,,
None,None,,,,,,,,,,,,,,,
Elemental Absorb,Elemental Weakness,,,,,,,,,,,,,,,
None,None,,,,,,,,,,,,,,,
Blue Magic,Status Immunities,,,,,,,,,,,,,,,
None,None,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Behemoth
Bestiary #232",Type,Level,HP,MP,Gil,EXP,Speed,,,,,,,,,
None,77,15000,200,800,0,?,,,,,,,,,,
Strength,Attack Mult.,Magic Atk.,Evasion,Defense,Mag. Def.,Mag. Evade,,,,,,,,,,
90,13,0,0,13,0,0,,,,,,,,,,
Stolen Items,Dropped Items,,,,,,,,,,,,,,,
Common: Phoenix Down,Common: Phoenix Down,,,,,,,,,,,,,,,
Command Immunities,Elemental Immunities,,,,,,,,,,,,,,,
None,None,,,,,,,,,,,,,,,
Elemental Absorb,Elemental Weakness,,,,,,,,,,,,,,,
None,None,,,,,,,,,,,,,,,
Blue Magic,Status Immunities,,,,,,,,,,,,,,,
????,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Belphegor
Bestiary #227",Type,Level,HP,MP,Gil,EXP,Speed,,,,,,,,,
Magic Beast,55,6000,500,950,0,40,,,,,,,,,,
Strength,Attack Mult.,Magic Atk.,Evasion,Defense,Mag. Def.,Mag. Evade,,,,,,,,,,
73,10,50,15,30,10,50,,,,,,,,,,
Stolen Items,Dropped Items,,,,,,,,,,,,,,,
"Common: Moonring Blade
Rare: Rising Sun",Common: Ice Shield,,,,,,,,,,,,,,,
Command Immunities,Elemental Immunities,,,,,,,,,,,,,,,
None,None,,,,,,,,,,,,,,,
Elemental Absorb,Elemental Weakness,,,,,,,,,,,,,,,
,None,,,,,,,,,,,,,,,
Blue Magic,Status Immunities,,,,,,,,,,,,,,,
None,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Berserker
Bestiary #167",Type,Level,HP,MP,Gil,EXP,Speed,,,,,,,,,
Humanoid,44,2140,0,495,1000,20,,,,,,,,,,
