LEVEL,EXP,BASE HP,BASE MP
1,0,20,2
2,10,25,5
3,33,30,8
4,74,40,11
5,140,50,14
6,241,60,17
7,389,70,20
8,599,80,23
9,888,90,26
10,1276,100,29
11,1786,120,32
12,2441,140,35
13,3269,160,38
14,4299,180,41
15,5564,200,44
16,7097,220,47
17,8936,240,50
18,11120,260,53
19,13691,280,56
20,16693,300,59
21,20173,320,62
22,24180,340,65
23,28765,360,68
24,33983,380,71
25,39890,400,74
26,46546,420,77
27,54012,440,80
28,62352,460,83
29,71632,480,86
30,81921,500,89
31,93291,530,92
32,105815,560,95
33,119569,590,98
34,134633,620,101
35,151087,650,104
36,169015,690,107
37,188503,730,110
38,209640,770,113
39,232517,810,116
40,257227,850,119
41,283867,900,122
42,312534,950,125
43,343330,1000,128
44,376357,1050,131
45,411722,1100,134
46,449533,1160,137
47,489900,1220,140
48,532937,1280,143
49,578759,1340,146
50,627485,1400,149
51,679235,1460,152
52,734131,1520,155
53,792300,1580,158
54,853869,1640,161
55,918969,1700,164
56,987732,1760,167
57,1060294,1820,170
58,1136793,1880,173
59,1217368,1940,176
60,1302163,2000,179
61,1391323,2050,182
62,1484995,2100,185
63,1583329,2150,188
64,1686478,2200,191
65,1794597,2250,194
66,1907843,2300,197
67,2026376,2350,200
68,2150358,2400,203
69,2279955,2450,206
70,2415333,2500,209
71,2556663,2550,212
72,2704116,2600,215
73,2857867,2650,218
74,3018093,2700,221
75,3184974,2750,224
76,3358692,2800,227
77,3539432,2850,230
78,3727380,2900,233
79,3922726,2950,236
80,4125661,3000,239
81,4336381,3050,242
82,4555081,3100,245
83,4781961,3150,248
84,5017223,3200,251
85,5261071,3250,254
86,5513712,3300,257
87,5775354,3350,260
88,6046210,3400,263
89,6326493,3450,266
90,6616420,3500,269
91,6916210,3550,272
92,7226084,3600,275
93,7546266,3650,278
94,7876982,3700,281
95,8218461,3750,284
96,8570934,3800,287
97,8934635,3850,290
98,9309800,3900,293
99,9696668,3950,296
